Text	Category
Vatandaşın çevrim içi işlem yapmaya çalıştığı sırada Wi-Fi bağlıyken internete çıkılamaması nedeniyle mağduriyet yaşanıyor. Bu durum iki haftadır sonuçlanmadı. Vatandaş işlemini tamamlayamıyor ve başvurunun oluşup oluşmadığını göremiyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Hesap, uygulama veya ağ bağlantısının kontrol edilmesini talep ediyoruz.	İnternet ve Ağ Hizmetleri
Hata alınması. Muradiye tarafında vatandaşın hesap ve tahakkuk bilgilerinde online ödeme sırasında hata alınması konusu çözüm bekliyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Ödeme Sorunları
Vatandaşla iletişim sorunu yaşandı. Telefon ve e-posta üzerinden iletişim sırasında hizmet sırasında uygun olmayan üslup ve yönlendirme kullanıldı. Doğru birimden resmî bilgi verilmesini rica ediyoruz. İşlem ilerlemiyor ve vatandaş zaman kaybediyor.	Kurumsal İletişim
Belediyenin kültür, eğitim, spor veya gençlik tesisinde organizasyon kayıt bilgisinin sorulması. Belediyenin kültür, eğitim, spor veya gençlik tesisinde organizasyon kayıt bilgisinin sorulması nedeniyle mağduriyet yaşanıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Etkinlikler
Özalp ilçesinde mahalle sakinlerinin sosyal faaliyet ihtiyacında mahallede kültür etkinliği istenmesi. Sorun yaklaşık üç gündür devam ediyor. Başvuru sistemi ve program saatleri kullanıcıları mağdur ediyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Katılım bilgisinin açık biçimde paylaşılmasını ve erişim sorununun çözülmesini rica ediyoruz.	Etkinlikler
Taksi durağında sıra düzeni uygulanmıyor. Okul ve iş çıkış saatlerinde araçlar durak sırasına uymadan müşteri almaya çalışıyor. Ticari aracın ve sürücünün çalışma kuralları yönünden denetlenmesini istiyorum. Bu konu belediye otobüs seferinden değil, ticari taşıma aracının denetiminden kaynaklanıyor.	Ticari Taşımacılık
Başvurumuz birden fazla sokağı veya haneyi etkileyen ihtiyaçta görülen mahalle adına resmi talep bildirilmesi hakkındadır. Muhtar vatandaşlara güncel bilgi veremiyor ve hizmet takibi aksıyor. Mahalle ihtiyacının bütüncül biçimde değerlendirilmesini talep ediyoruz.	Muhtarlık Talepleri
Toplu taşıma kullanıcılarının yoğun olduğu noktada karttan yanlış ücret kesilmesi. Toplu taşıma kullanıcılarının yoğun olduğu noktada karttan yanlış ücret kesilmesi nedeniyle mağduriyet yaşanıyor. Ulaşım maliyeti ve yolculuk süresi gereksiz biçimde artıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Ulaşım Kartı
Oyun alanı bakımsız. Çocuk oyun grubunun parçaları eksik ve paslanmış. Konutların arasındaki parkta bu nedenle sorun daha belirgin hâle geliyor. Çocuklar için yaralanma riski oluşuyor. Hasarlı ekipmanların yenilenmesini istiyorum.	Park ve Oyun Alanı
Gürpınar ilçesinde yerleşim alanına yakın tehlikeli noktada asansörde insanların mahsur kalması. Yaklaşık bir aydır aynı problem yaşanıyor. Gecikme halinde can kaybı ve ciddi maddi zarar riski bulunuyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Olay bölgesinde güvenlik çemberi ve gerekli teknik müdahalenin sağlanmasını rica ediyoruz.	Kurtarma ve Acil Müdahale
Tuşba tarafında belediye mezarlığı veya cenaze aracıyla ilgili işlemde hastaneden cenaze alınması. Tuşba tarafında belediye mezarlığı veya cenaze aracıyla ilgili işlemde hastaneden cenaze alınması konusu çözüm bekliyor. Kayıt, bakım veya taşıma işlemi netleşmediği için diğer hazırlıklar yapılamıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Cenaze Nakli
Vatandaşlar sabah ve akşam yoğunluğunda kullanılan ulaşım hattında belirli hattın sürekli gecikmesi konusunda destek talep ediyor. Son günlerde sorun belirgin biçimde arttı. Öğrenci, yaşlı ve çalışanların günlük ulaşım planı aksıyor. İlgili kanala daha önce başvurulduğu halde geri dönüş alınamadı. İlgili sistem, araç veya fiziki alanın kontrol edilip sorunun giderilmesini talep ediyoruz.	Toplu Taşıma
Gevaş ilçesinde sağlık hizmetine erişimi sınırlı vatandaşta bakım veren aileye yönlendirme. Hasta ve yakınları uygun araç veya destek bulunmadığından zorlanıyor. Vatandaşa hizmet kapsamı ve süreç hakkında açık bilgi verilmesini rica ediyoruz.	Evde Bakım
Çatıda alev ve yoğun duman görülmesi. Başvurumuz acil ekipman ve uzman müdahalesi gereken durumda görülen çatıda alev ve yoğun duman görülmesi hakkındadır. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Yangın
İpekyolu tarafında evden çıkmakta zorlanan hasta veya yaşlı kişide kontrol randevusu için nakil aracı. İpekyolu tarafında evden çıkmakta zorlanan hasta veya yaşlı kişide kontrol randevusu için nakil aracı konusu çözüm bekliyor. Gecikme sağlık durumunun kötüleşmesine veya randevunun kaçırılmasına yol açabilir. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Hasta Nakli
Gevaş ilçesinde resmi görüşme veya kamuoyu bilgilendirmesi sırasında belediye duyurusunun vatandaşlara ulaşmaması. Sorun yaklaşık üç gündür devam ediyor. Doğru bilgiye veya muhataba ulaşılamadığı için süreç ilerlemiyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Doğru iletişim kanalı ve güncel bilginin paylaşılmasını istiyoruz.	Duyuru ve Tanıtım
Gevaş ilçesinde devam eden başvuru ve belge sürecinde ruhsat dosyası için itfaiye görüşü beklenmesi. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Farklı kaynaklardan çelişkili bilgi alındığı için konu netleştirilemiyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Dosyanın güncel durumunun ve gerekli belgelerin açıkça bildirilmesini istiyoruz.	İtfaiye Uygunluk İşlemleri
Muradiye tarafında vatandaşın mevzuat ve kayıt bilgisine ihtiyaç duyduğu aşamada gece saatlerinde kaçak inşaatın sürmesi konusu çözüm bekliyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. İşlemin hangi aşamada olduğu bilinmediği için başvuru ilerlemiyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Başvuru sahibine resmi ve anlaşılır bir geri dönüş yapılmasını rica ediyoruz.	Kaçak Yapı
Vatandaşlar temel yaşam koşullarını sürdürmekte zorlanan kişide çocuk ve ebeveyn danışmanlığı konusunda destek talep ediyor. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Destek geciktikçe ekonomik ve psikososyal mağduriyet büyüyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Kişiye uygun destek programına yönlendirme ve yardım sağlanmasını talep ediyoruz.	Kadın ve Aile Desteği
Başvurumuz şehir merkezi ile mahalle arasındaki ulaşım bağlantısında görülen araçların yoğun saatlerde aşırı dolu gelmesi hakkındadır. Yaklaşık bir aydır aynı problem yaşanıyor. Öğrenci, yaşlı ve çalışanların günlük ulaşım planı aksıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Ulaşım düzeninin saha verileri dikkate alınarak yeniden değerlendirilmesini istiyoruz.	Toplu Taşıma
Sağlık hizmetine erişimi sınırlı vatandaşta yaşlı hastanın evde sağlık ihtiyacı nedeniyle mağduriyet yaşanıyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Gecikme sağlık durumunun kötüleşmesine veya randevunun kaçırılmasına yol açabilir. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Gerekli ekip, araç veya randevu desteğinin sağlanmasını talep ediyoruz.	Evde Bakım
Erciş tarafında vatandaşın mevzuat ve kayıt bilgisine ihtiyaç duyduğu aşamada projenin yangın önlemlerinin değerlendirilmesi konusu çözüm bekliyor. Sorun yaklaşık üç gündür devam ediyor. İşlemin hangi aşamada olduğu bilinmediği için başvuru ilerlemiyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Kayıtların incelenerek işlemin mevzuata uygun biçimde sonuçlandırılmasını talep ediyoruz.	İtfaiye Uygunluk İşlemleri
Yerleşim alanının ana bağlantı noktasında su çalışması sonrası yolun açık bırakılması nedeniyle mağduriyet yaşanıyor. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Yağışlı ve yoğun saatlerde sorun daha tehlikeli hale geliyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Geçici müdahale yerine kalıcı teknik çözüm uygulanmasını talep ediyoruz.	Kazı ve Altyapı
Başvurumuz mahalle parkı ve ortak dinlenme alanında görülen refüj görünümünün iyileştirilmesi hakkındadır. Sorun yaklaşık üç gündür devam ediyor. Alan güvenli ve işlevsel biçimde kullanılamıyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Kırık veya işlevsiz unsurların yenilenmesini ve alanın güvenli hale getirilmesini talep ediyoruz.	Peyzaj ve Kent Estetiği
Yol kenarındaki bordür kırık. Şehir merkezindeki yoğun kullanılan yolda kaldırım ile yol arasındaki bordür taşları zarar görmüş. Çukurlar ve kırık taşlar kaza riski oluşturuyor. Bozuk kaplamanın yenilenmesini rica ediyoruz.	Yol, Asfalt ve Kaldırım
Parkta sahipsiz köpekler var. Konutların yakınındaki açık alanda başıboş hayvanlar uzun süredir aynı bölgede bulunuyor. Düzenli bakım yapılmadığı için sayı ve sağlık sorunları artıyor. Sahipsiz hayvan hizmetinin planlanmasını rica ediyoruz.	Sahipsiz Hayvan
Vatandaşlar okul ve konutların yakınında hayvan için kısırlaştırma talep edilmesi konusunda destek talep ediyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Müdahale gecikirse yaralanma, çoğalma veya saldırı riski artabilir. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Hayvanın uygun yöntemle kontrol, bakım veya tedavi sürecine alınmasını talep ediyoruz.	Barınak ve Kısırlaştırma
Budama sonrası dallar kaldırılmadı. Mahalle parkında kesilen ağaç dalları park içinde bırakılmış. Sorun reklam tabelası veya kaldırım işgali değil, doğrudan ağaç bakım ihtiyacıdır. Ağaç bakımının yapılmasını rica ediyoruz.	Ağaç ve Budama
Vatandaşlar yerleşim alanına yakın çevrede kamusal alanda görüntü kirliliği oluşması konusunda destek talep ediyor. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Koku, görüntü, hijyen veya sağlık açısından ciddi rahatsızlık oluşuyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Kaynağın tespit edilerek temizlik, toplama veya çevresel müdahalenin yapılmasını istiyoruz.	Çevre Kirliliği
Başvurumuz mezarlık ve cenaze hizmetinin zamanında planlanması gereken durumda görülen çevre duvarının zarar görmesi hakkındadır. Son günlerde sorun belirgin biçimde arttı. Süreç geciktiği için aile büyük bir belirsizlik ve mağduriyet yaşıyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Mezarlık veya cenaze hizmetinin gecikmeden tamamlanmasını rica ediyoruz.	Mezarlık Bakım ve Temizliği
Sulama hattında kaçak var. Üreticilerin ortak kullandığı sulama hattında kırsal sulama borusundaki arıza nedeniyle su tarlaya ulaşmadan kayboluyor. Bu talep evsel içme suyu değil, tarımsal üretim için kullanılan sulama suyuyla ilgilidir. Sulama programı ve altyapının kontrol edilmesini rica ediyoruz.	Tarımsal Sulama
Özalp ilçesinde hayvan refahı açısından acil değerlendirme gereken noktada mahallede çok sayıda sahipsiz köpek bulunması. Sorun yaklaşık üç gündür devam ediyor. Hayvanın refahı veya vatandaşların güvenliği açısından risk oluşuyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Veteriner ekibin durumu yerinde değerlendirmesini istiyoruz.	Sahipsiz Hayvan
Çaldıran ilçesinde günlük ulaşımın sağlandığı kamusal alanda şev tutucu duvarın yana doğru açılması. Araç ve yaya geçişi zorlaşıyor, güvenlik riski her geçen gün artıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Köprü, Menfez ve İstinat
Yerleşim alanına yakın çevrede hafriyat toprağının izinsiz bırakılması nedeniyle mağduriyet yaşanıyor. Müdahale geciktikçe kirlilik ve halk sağlığı riski büyüyor. Kaynağın tespit edilerek temizlik, toplama veya çevresel müdahalenin yapılmasını istiyoruz.	Hafriyat Atığı
Başvurumuz son ödeme ve itiraz süresi devam eden dosyada görülen vezne ödemesinin tamamlanmaması hakkındadır. Yaklaşık bir aydır aynı problem yaşanıyor. Tutarın hangi döneme ait olduğu anlaşılamadığı için itiraz süresi riske giriyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Mali kayıtların ve işlem hareketlerinin incelenmesini istiyoruz.	Ödeme Sorunları
İpekyolu tarafında yerleşim alanına yakın çevrede inşaatın izin dışı saatlerde sürmesi konusu çözüm bekliyor. Yaklaşık bir aydır aynı problem yaşanıyor. Sorun sıcak hava ve yağışla birlikte daha geniş bir alana yayılıyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Kaynağın tespit edilerek temizlik, toplama veya çevresel müdahalenin yapılmasını istiyoruz.	Gürültü Kirliliği
Çocukların, ailelerin ve yaşlıların kullandığı kamusal alanda oturma elemanlarının sökülmesi nedeniyle mağduriyet yaşanıyor. Yaklaşık bir aydır aynı problem yaşanıyor. Kamusal alanın görünümü ve kullanım kalitesi belirgin biçimde bozuluyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Düzenli bakım programına alınarak kalıcı çözüm sağlanmasını rica ediyoruz.	Kent Mobilyası
Gürpınar tarafında okul, hastane ve iş merkezlerine erişim sağlayan bölgede park alanının yetersiz olması konusu çözüm bekliyor. Ulaşım maliyeti ve yolculuk süresi gereksiz biçimde artıyor. Ulaşım düzeninin saha verileri dikkate alınarak yeniden değerlendirilmesini istiyoruz.	Otopark
Dere yatağına inşaat atığı bırakılmış. Konutların bulunduğu bölgede moloz ve hafriyat su akışını engelliyor. İzinsiz döküm yapanların tespit edilmesini rica ediyoruz. Yağmurla birlikte moloz çevreye dağılıyor.	Hafriyat Atığı
Şehir merkezi ile mahalle arasındaki ulaşım bağlantısında yaya geçidi çizgilerinin silinmesi nedeniyle mağduriyet yaşanıyor. Yaklaşık bir aydır aynı problem yaşanıyor. Vatandaşlar uzun süre bekliyor, aktarma yapmak zorunda kalıyor veya yolculuğunu tamamlayamıyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Ulaşım düzeninin saha verileri dikkate alınarak yeniden değerlendirilmesini istiyoruz.	Trafik Düzenleme ve Sinyalizasyon
İzinsiz büyük reklam tabelası asıldı. Kavşak ve yaya geçidi yakınında bina cephesine belediye izni bulunmadığı düşünülen büyük tabela yerleştirildi. Tabela güvenlik riski ve görüntü kirliliği oluşturuyor. Ekiplerin ölçü, konum ve güvenlik yönünden denetim yapmasını rica ediyoruz.	Reklam ve Tabela Denetimi
Vatandaşlar son ödeme ve itiraz süresi devam eden dosyada banka hesabına tutarın dönmemesi konusunda destek talep ediyor. Ödeme işlemini tamamlamak değil, daha önce alınmış fazla veya hatalı tutarın geri verilmesi istenmektedir. Tutarın hangi döneme ait olduğu anlaşılamadığı için itiraz süresi riske giriyor. Tutar, dönem ve ödeme durumunun açıkça bildirilmesini talep ediyoruz. Konunun doğru hizmet alanında değerlendirilerek başvuru sahibine geri dönüş yapılmasını rica ediyoruz.	İade İşlemleri
İpekyolu tarafında çocuk, genç ve yetişkinlerin katıldığı programda kurs saatleri ve kontenjanın sorulması. İpekyolu tarafında çocuk, genç ve yetişkinlerin katıldığı programda kurs saatleri ve kontenjanın sorulması konusu çözüm bekliyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Kurs ve Eğitim
Vatandaşlar bakım bekleyen yeşil ve rekreasyon alanında dekoratif alanların yıpranması konusunda destek talep ediyor. Yaklaşık bir aydır aynı problem yaşanıyor. Aileler ve çocuklar güvenlik kaygısıyla bölgeyi kullanmaktan kaçınıyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Bakım, onarım ve çevre düzenlemesinin yerinde yapılmasını istiyoruz.	Peyzaj ve Kent Estetiği
Sahibi bilinmeyen araç kaldırılmalı. Mahalle içindeki yol kenarında araç uzun süredir terk edilmiş durumda ve kime ait olduğu bilinmiyor. Hurda aracın bölgeden alınmasını rica ediyoruz. Çocuklar ve yayalar için yaralanma riski bulunuyor.	Terk Edilmiş ve Hurda Araçlar
Taksi kısa mesafe yolcu almıyor. Vatandaşların düzenli ulaşım beklediği hatta duraktaki taksiler kısa mesafe olduğu gerekçesiyle yolcu taşımayı reddediyor. Gerekli inceleme yapılarak mevzuata aykırılık varsa işlem uygulanmasını rica ediyoruz. Bu konu belediye otobüs seferinden değil, ticari taşıma aracının denetiminden kaynaklanıyor.	Ticari Taşımacılık
Çaldıran tarafında belediye sağlık hizmeti alınması gereken durumda evde bakım değerlendirmesi konusu çözüm bekliyor. Yaklaşık bir aydır aynı problem yaşanıyor. Gecikme sağlık durumunun kötüleşmesine veya randevunun kaçırılmasına yol açabilir. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Sağlık ihtiyacının değerlendirilerek uygun hizmetin planlanmasını istiyoruz.	Evde Bakım
Taşınmazın hukuki ve idari durumunun netleşmesi gereken aşamada kuruluş için yer tahsisi. Taşınmazın hukuki ve idari durumunun netleşmesi gereken aşamada kuruluş için yer tahsisi nedeniyle mağduriyet yaşanıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Kira ve Tahsis
Devam eden başvuru ve belge sürecinde emsal ve kat adedi bilgisinin talep edilmesi nedeniyle mağduriyet yaşanıyor. Sorun yaklaşık üç gündür devam ediyor. İşlemin hangi aşamada olduğu bilinmediği için başvuru ilerlemiyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Dosyanın güncel durumunun ve gerekli belgelerin açıkça bildirilmesini istiyoruz.	İmar Durumu
Vatandaşlar toplu taşıma kullanıcılarının yoğun olduğu noktada online yüklemenin karta geçmemesi konusunda destek talep ediyor. Ulaşım maliyeti ve yolculuk süresi gereksiz biçimde artıyor. Vatandaşların güvenli ve düzenli ulaşım sağlayabilmesi için gerekli düzenlemenin yapılmasını rica ediyoruz.	Ulaşım Kartı
Muradiye ilçesinde taşınmazın hukuki ve idari durumunun netleşmesi gereken aşamada boş belediye mülkünün bakım sorunu. Mülkiyet veya kullanım durumu netleşmediği için vatandaş işlem yapamıyor. Dosyanın ve taşınmaz kayıtlarının incelenmesini istiyoruz.	Belediye Taşınmazları
Zaman kaybının riski artırdığı olayda çöp konteynerinde yangın başlaması nedeniyle mağduriyet yaşanıyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Gecikme halinde can kaybı ve ciddi maddi zarar riski bulunuyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Acil ekibin derhal olay yerine yönlendirilmesini istiyoruz.	Yangın
Bina veya iş yerinde aktif yangın çıkması. Vatandaşlar güvenli alana çekilmiş durumda ve profesyonel ekip bekliyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Yangın
Çaldıran ilçesinde online veya vezne üzerinden yapılan mali işlemde muafiyet koşullarının öğrenilmesi. Yaklaşık bir aydır aynı problem yaşanıyor. Yanlış veya belirsiz kayıt nedeniyle vatandaş maddi mağduriyet yaşıyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Hatalı kayıt varsa düzeltilmesini ve vatandaşa resmi geri dönüş yapılmasını rica ediyoruz.	Vergi ve Harç
Vatandaşlar acil sosyal hizmet değerlendirmesi gereken durumda evi kullanılamaz ailenin konaklama ihtiyacı konusunda destek talep ediyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Destek geciktikçe ekonomik ve psikososyal mağduriyet büyüyor. İlgili kanala daha önce başvurulduğu halde geri dönüş alınamadı. Başvurunun gizlilik ve hassasiyet gözetilerek değerlendirilmesini rica ediyoruz.	Barınma Desteği
Gevaş ilçesinde randevu ve bakım planlaması sırasında belediye sağlık taramasının sorulması. Sorun yaklaşık üç gündür devam ediyor. Vatandaş hangi hizmetten yararlanacağını bilemediği için mağduriyet yaşıyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Gerekli ekip, araç veya randevu desteğinin sağlanmasını talep ediyoruz.	Sağlık Hizmetleri
Vatandaşlar acil sosyal hizmet değerlendirmesi gereken durumda gıda ve temel ihtiyaç desteği istenmesi. Vatandaşlar acil sosyal hizmet değerlendirmesi gereken durumda gıda ve temel ihtiyaç desteği istenmesi konusunda destek talep ediyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Sosyal Yardım
İşletme ticari kurallara uymuyor. Fiyat, etiket ve tüketici bilgilendirmesi eksik. Vatandaşların hizmet aldığı işletmede bu nedenle sorun daha belirgin hâle geliyor. Talep genel sokak temizliği için değil, ticari işletmenin denetlenmesi içindir. Mevzuata aykırılık varsa gerekli işlemin yapılmasını rica ediyoruz.	Denetim
Tarla, bahçe ve hayvancılık faaliyetlerinin yürütüldüğü bölgede tohum ve fide desteği istenmesi nedeniyle mağduriyet yaşanıyor. Yaklaşık bir aydır aynı problem yaşanıyor. Üreticiler mevcut destek ve hizmetlerden nasıl yararlanacağını bilmiyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Üretim ihtiyacının yerinde değerlendirilmesini ve uygun destek sağlanmasını istiyoruz.	Tarımsal Destek
Muradiye ilçesinde temel yaşam koşullarını sürdürmekte zorlanan kişide kırtasiye ve eğitim desteği talebi. Yaklaşık bir aydır aynı problem yaşanıyor. Mevcut koşullar çocukların, yaşlıların veya bakım ihtiyacı olan bireylerin yaşamını etkiliyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Sosyal hizmet ekibinin ihtiyaç değerlendirmesi yapmasını istiyoruz.	Sosyal Yardım
Vatandaşlar acil sosyal hizmet değerlendirmesi gereken durumda tahliye sonrası geçici konut ihtiyacı. Vatandaşlar acil sosyal hizmet değerlendirmesi gereken durumda tahliye sonrası geçici konut ihtiyacı konusunda destek talep ediyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Barınma Desteği
Parklara hayvan su noktası konulsun. Temizlenebilir su kapları yerleştirilmesi talep ediliyor. Konutların yakınındaki açık alanda bu nedenle sorun daha belirgin hâle geliyor. Düzenli bakım yapılmadığı için sayı ve sağlık sorunları artıyor. Veteriner ekiplerinin hayvanları kontrol etmesini talep ediyoruz.	Sahipsiz Hayvan
Evde sağlık ve bakım desteği. Sağlık ve kişisel bakım ihtiyacında hareket edemeyen kişinin temel bakım işlemleri yapılamıyor. Kişisel bakım ve sağlık takibi aksıyor. Evde bakım ekibinin değerlendirme yapmasını talep ediyoruz.	Evde Bakım
Başvurumuz dere, park, sokak veya boş arazi çevresinde görülen atölyenin konutları rahatsız etmesi hakkındadır. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Koku, görüntü, hijyen veya sağlık açısından ciddi rahatsızlık oluşuyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. İlgili ekiplerin çevre ve halk sağlığı yönünden inceleme yapmasını rica ediyoruz.	Gürültü Kirliliği
Taşınmazın mülkiyet, kullanım veya sözleşme sürecinde ecrimisil tutarına itiraz edilmesi. Taşınmazın mülkiyet, kullanım veya sözleşme sürecinde ecrimisil tutarına itiraz edilmesi nedeniyle mağduriyet yaşanıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Ecrimisil
Vatandaşlar muhtar ve mahalle sakinlerinin ortak başvurusunda muhtarın belediye birimine ulaşamaması konusunda destek talep ediyor. Yaklaşık bir aydır aynı problem yaşanıyor. Mahalle adına iletilen konu doğru birime ulaşmadığı için sonuçlanmıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Mahalle ihtiyacının bütüncül biçimde değerlendirilmesini talep ediyoruz.	Muhtar İletişimi
Özalp ilçesinde günlük işe ve okula gidiş geliş sırasında indirimli kart başvurusunun sonuçlanmaması. Sorun yaklaşık üç gündür devam ediyor. Vatandaşlar uzun süre bekliyor, aktarma yapmak zorunda kalıyor veya yolculuğunu tamamlayamıyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Vatandaşların güvenli ve düzenli ulaşım sağlayabilmesi için gerekli düzenlemenin yapılmasını rica ediyoruz.	Ulaşım Kartı
Hak sahibi ve belediye arasında yürütülen süreçte kuruluş için yer tahsisi nedeniyle mağduriyet yaşanıyor. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Farklı kayıtlar birbiriyle uyuşmadığı için hukuki endişe oluşuyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Mülkiyet, kullanım, bedel veya sözleşme durumunun resmi olarak açıklanmasını talep ediyoruz.	Kira ve Tahsis
Özalp tarafında çocuk, kadın, yaşlı veya engelli bireyin bulunduğu ailede sokakta kalan vatandaş için güvenli yer konusu çözüm bekliyor. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Mevcut koşullar çocukların, yaşlıların veya bakım ihtiyacı olan bireylerin yaşamını etkiliyor. İlgili kanala daha önce başvurulduğu halde geri dönüş alınamadı. Kişiye uygun destek programına yönlendirme ve yardım sağlanmasını talep ediyoruz.	Barınma Desteği
Sabah ve akşam yoğunluğunda kullanılan ulaşım hattında güzergâh değişikliğinin ulaşımı zorlaştırması nedeniyle mağduriyet yaşanıyor. Vatandaşlar uzun süre bekliyor, aktarma yapmak zorunda kalıyor veya yolculuğunu tamamlayamıyor. Vatandaşların güvenli ve düzenli ulaşım sağlayabilmesi için gerekli düzenlemenin yapılmasını rica ediyoruz.	Toplu Taşıma
Kavşak ağzına araç park edilmiş. Okul, hastane ve konutların bulunduğu bölgede dönüş alanına park edilen araç sürücülerin görüşünü kapatıyor. Hatalı parkın denetlenmesini ve gerekli işlemin uygulanmasını istiyoruz. Acil müdahale araçlarının erişimi engellenebilir.	Park İhlali
Çaldıran tarafında belediye mezarlığı veya cenaze aracıyla ilgili işlemde yürüyüş yollarının bakımsız olması konusu çözüm bekliyor. Sorun yaklaşık üç gündür devam ediyor. Süreç geciktiği için aile büyük bir belirsizlik ve mağduriyet yaşıyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Aileye süreç, belge ve zamanlama hakkında açık bilgi verilmesini talep ediyoruz.	Mezarlık Bakım ve Temizliği
Başkale ilçesinde resmi görüşme veya kamuoyu bilgilendirmesi sırasında kent yaşamını iyileştirecek fikir sunulması. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Doğru bilgiye veya muhataba ulaşılamadığı için süreç ilerlemiyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. İlgili birimden açık ve resmi geri dönüş yapılmasını talep ediyoruz.	Öneri ve Görüş
